plant,Type,น้ำหนักสด (g),ความยาวลำต้น (cm)
Barley,1,0,0
Artichoke(cardoon),3,0,22
Artichoke(GreenGlobe),3,0,19.5
Artichoke(violetto),3,0,20
Chinese Kale,3,44.9,25.5
Tomatoes,2,0,32
Begonia,1,2.2,3.78
Geranium,1,1.3,5.4
Snapdragon,1,1,6.9
petunia,1,0.8,0
Lettuce ,3,66.08,0
Lettuce,3,64.82,24.33
Spinach,3,47.7,35.17
Kale,3,85.45,51.63
Basil,3,32.68,51.12
Sweet peper,2,62.082,45.942
Red Oakleaf,3,21.51,0
purple basil,3,24.63,18.78
green basil,3,52.75,26.25
Dropwort,3,0,0
Oncidium,1,0,3.925
tomato,2,0,12.4
pepper,2,0,8.92
Myrtus communis,1,0.2217,0
vanilla,1,1.4312,4.4
Grape,2,0,4.494
Basil,3,0,19
Dill,3,0,24.5
Parsley,3,0,20.5
lettuce,3,0,12.5
strawberry,2,0,0
Chinese Cabbage,3,5.93,0
